Stage,Rank,Name,HandleName,Nationality,Division,Impacts,SuccessRate,Dropped,Score,Progress,Time,Status
Stage: 7 Pole Yard,9,Hugo Coetzee,kleinplasie15,South Africa,Open,5,50.00%,-5,50.00%,10/10,0.00,Completed
Stage: 7 Pole Yard,10,Stelios Christofi,Stel,South Africa,Factory,5,50.00%,-5,50.00%,6/10,0.00,Completed
Stage: 7 Pole Yard,11,Dehan Lotz,Lotz,South Africa,Open,4,40.00%,-6,40.00%,8/10,0.00,Completed
Stage: 7 Pole Yard,12,Glen Clark ,Glen,South Africa,Senior,4,40.00%,-6,40.00%,10/10,0.00,Completed
Stage: 7 Pole Yard,13,Greg  Sykes,Gregs,South Africa,Senior,4,40.00%,-6,40.00%,10/10,0.00,Completed
Stage: 7 Pole Yard,14,Johan Symington,asymington,South Africa,Junior,4,40.00%,-6,40.00%,9/10,0.00,Completed
Stage: 7 Pole Yard,15,Werner Walkinshaw,WernerWW,South Africa,Open,4,40.00%,-6,40.00%,8/10,0.00,Completed
Stage: 7 Pole Yard,16,Andries Lategan,Lategan,South Africa,Senior,3,30.00%,-7,30.00%,8/10,0.00,Completed
Stage: 7 Pole Yard,17,Kobus Swart,kobusswart31,South Africa,Open,3,30.00%,-7,30.00%,10/10,0.00,Completed
Stage: 7 Pole Yard,18,Liezel Foot,TheFoot,South Africa,Ladies,3,30.00%,-7,30.00%,10/10,0.00,Completed
Stage: 7 Pole Yard,19,Marieke Van Rooyen,Marieke,South Africa,Ladies,3,30.00%,-7,30.00%,7/10,0.00,Completed
Stage: 7 Pole Yard,20,Andre Steenkamp,andre_intouch,South Africa,Senior,2,20.00%,-8,20.00%,6/10,0.00,Completed
Stage: 7 Pole Yard,21,Gerhard Slabbert,Gerhard,South Africa,Open,2,20.00%,-8,20.00%,8/10,0.00,Completed
Stage: 7 Pole Yard,22,Grant Bower,GeeBee,South Africa,Factory,2,20.00%,-8,20.00%,10/10,0.00,Completed
Stage: 7 Pole Yard,23,Jaco Bosman,JacoBos,South Africa,Open,2,20.00%,-8,20.00%,10/10,0.00,Completed
Stage: 7 Pole Yard,24,Pieter le Roux,gokinetix,South Africa,Factory,2,20.00%,-8,20.00%,9/10,0.00,Completed
Stage: 7 Pole Yard,25,Riaan  Kunneke ,Nunuz007,South Africa,Senior,2,20.00%,-8,20.00%,6/10,0.00,Completed
Stage: 7 Pole Yard,26,Angelo van Zyl,AngeloZ,South Africa,Open,1,10.00%,-9,10.00%,10/10,0.00,Completed
Stage: 7 Pole Yard,27,Wynand Brand,Wynand,South Africa,Open,1,10.00%,-9,10.00%,6/10,0.00,Completed
